CCAA,Año,Indice_IPC,Precio_Vivienda_IPV,Renta_Media,Pob_Adulta,Pob_Joven,Pob_Senior,Ratio_Esfuerzo,Renta_Ajustada_IPC,Pct_Pob_Joven
La Rioja,2015,19.503,100.0,16295,113737.0,141047.0,62157.0,6.13685179502915,21904.674800368088,44.50260458571154
La Rioja,2016,19.367,101.96,16933,114015.0,138906.0,62771.0,6.021378373590031,22922.153777586936,44.00048148195076
La Rioja,2017,20.395,104.037,17801,114168.0,137637.0,63476.0,5.8444469411830795,22882.5571902298,43.655342377117556
La Rioja,2018,20.843,109.156,17490,114504.0,136748.0,64321.0,6.241052029731275,21999.532242302725,43.33323826816616
La Rioja,2019,20.797,115.012,18661,114776.0,136789.0,65128.0,6.163228122823,23524.374628931797,43.19293448229042
La Rioja,2020,19.882,117.18,19698,116026.0,137651.0,66104.0,5.948827292110875,25974.424239857253,43.04539669336202
La Rioja,2021,22.656,121.331,18758,116611.0,136431.0,66625.0,6.468226889860326,21706.367993606895,42.679100438894224
La Rioja,2022,26.401,130.006,19819,117168.0,134964.0,67617.0,6.559664967960038,19680.91231791459,42.20935796515391
Madrid,2008,19.908,149.458,18941,2072736.0,3311131.0,886788.0,7.890713267514915,24943.60025591404,52.803590693476195
Madrid,2009,18.479,133.981,20597,2126835.0,3347122.0,911873.0,6.504879351361848,29221.961851433058,52.41483096167608
Madrid,2010,19.574,134.508,20128,2180833.0,3338708.0,937951.0,6.682631160572337,26959.0699585379,51.70285925247759
Madrid,2011,20.482,122.826,19984,2222423.0,3302486.0,963502.0,6.146216973578863,25579.61037933178,50.8982245421876
Madrid,2012,20.731,103.984,19902,2258733.0,3252179.0,986227.0,5.224801527484674,25168.674037609573,50.05555522207544
Madrid,2013,20.37,92.203,19124,2284167.0,3198299.0,1011524.0,4.8213239907969045,24613.39786579851,49.25013743476661
Madrid,2014,19.854,94.572,18789,2288423.0,3123061.0,1041243.0,5.033370589174517,24810.7284121455,48.39908770353992
Madrid,2015,19.856,100.0,18593,2292829.0,3074976.0,1067280.0,5.378368203087183,24549.438939310396,47.78454363850672
Madrid,2016,19.82,108.566,18709,2310861.0,3064667.0,1089478.0,5.802875621358705,24747.469106166012,47.403931256985686
Madrid,2017,20.788,121.003,19314,2331365.0,3061684.0,1112052.0,6.265040902971937,24358.09863990358,47.0658949030922
Madrid,2018,21.241,133.325,19648,2358907.0,3078357.0,1138715.0,6.785677931596091,24250.866254190623,46.81214766652996
Madrid,2019,21.131,141.142,21030,2390380.0,3106608.0,1164158.0,6.7114598193057535,26091.74278747362,46.63774071308451
Madrid,2020,20.384,143.56,21429,2440844.0,3146068.0,1190603.0,6.699332680013066,27561.088149632313,46.41919641638565
Madrid,2021,22.74,147.206,21990,2453951.0,3099484.0,1195415.0,6.694224647567076,25352.374114706286,45.926105929158304
Madrid,2022,25.858,157.232,23338,2470477.0,3060001.0,1217243.0,6.737166852343817,23662.0610378138,45.34865919915776
Melilla,2008,19.91,134.165,17420,20710.0,43259.0,7475.0,7.701779563719862,22938.2750799651,60.54952130339847
Melilla,2009,18.556,137.01,17120,21425.0,44376.0,7651.0,8.002920560747663,24188.18393256259,60.41496487502042
Melilla,2010,19.671,137.679,18259,22405.0,45822.0,7799.0,7.540336272523139,24335.17177571043,60.271486070554815
Melilla,2011,20.109,124.837,18278,23349.0,47186.0,7931.0,6.829904803589014,23829.891491372015,60.13560013254148
Melilla,2012,20.307,110.05,19011,24585.0,48221.0,7983.0,5.788753879333018,24543.870959715725,59.68758123011796
Melilla,2013,19.537,96.169,17898,25766.0,49826.0,8074.0,5.373170186613029,24017.648973742125,59.55346257739106
Melilla,2014,19.293,96.6,18073,26377.0,49991.0,8125.0,5.34498976373596,24559.207599156493,59.165848058419044
Melilla,2015,19.185,100.0,15937,26937.0,50414.0,8210.0,6.2747066574637635,21778.533635104173,58.921704982410205
Melilla,2016,19.377,105.34,17349,27375.0,50367.0,8263.0,6.071819701423713,23473.171600622547,58.56287425149701
Melilla,2017,20.517,110.874,16453,27702.0,49996.0,8405.0,6.738831823983468,21023.988251078048,58.06534034818763
Melilla,2018,20.285,119.512,19500,27873.0,49894.0,8602.0,6.128820512820512,25202.490821581923,57.768412277553296
Melilla,2019,19.912,125.786,18003,27921.0,49754.0,8801.0,6.986946620007777,23703.575659216338,57.53503862343309
Melilla,2020,19.91,131.444,18214,28076.0,49868.0,9119.0,7.216646535631931,23983.79691770863,57.278063011841994
