Renta;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Mediana;Total Nacional;06 Cantabria;2016;12.868
Mediana;Total Nacional;06 Cantabria;2015;13.826
Mediana;Total Nacional;06 Cantabria;2014;12.972
Mediana;Total Nacional;06 Cantabria;2013;12.733
Mediana;Total Nacional;06 Cantabria;2012;12.961
Mediana;Total Nacional;06 Cantabria;2011;13.381
Mediana;Total Nacional;06 Cantabria;2010;14.631
Mediana;Total Nacional;06 Cantabria;2009;16.212
Mediana;Total Nacional;06 Cantabria;2008;15.318
Mediana;Total Nacional;07 Castilla y León;2023;18.571
Mediana;Total Nacional;07 Castilla y León;2022;17.337
Mediana;Total Nacional;07 Castilla y León;2021;16.688
Mediana;Total Nacional;07 Castilla y León;2020;16.640
Mediana;Total Nacional;07 Castilla y León;2019;15.349
Mediana;Total Nacional;07 Castilla y León;2018;15.283
Mediana;Total Nacional;07 Castilla y León;2017;15.008
Mediana;Total Nacional;07 Castilla y León;2016;13.987
Mediana;Total Nacional;07 Castilla y León;2015;13.635
Mediana;Total Nacional;07 Castilla y León;2014;13.791
Mediana;Total Nacional;07 Castilla y León;2013;14.162
Mediana;Total Nacional;07 Castilla y León;2012;14.354
Mediana;Total Nacional;07 Castilla y León;2011;14.477
Mediana;Total Nacional;07 Castilla y León;2010;14.736
Mediana;Total Nacional;07 Castilla y León;2009;14.658
Mediana;Total Nacional;07 Castilla y León;2008;13.950
Mediana;Total Nacional;08 Castilla - La Mancha;2023;15.818
Mediana;Total Nacional;08 Castilla - La Mancha;2022;14.860
Mediana;Total Nacional;08 Castilla - La Mancha;2021;14.054
Mediana;Total Nacional;08 Castilla - La Mancha;2020;14.446
Mediana;Total Nacional;08 Castilla - La Mancha;2019;13.384
Mediana;Total Nacional;08 Castilla - La Mancha;2018;12.646
Mediana;Total Nacional;08 Castilla - La Mancha;2017;11.596
Mediana;Total Nacional;08 Castilla - La Mancha;2016;11.456
Mediana;Total Nacional;08 Castilla - La Mancha;2015;11.161
Mediana;Total Nacional;08 Castilla - La Mancha;2014;11.035
Mediana;Total Nacional;08 Castilla - La Mancha;2013;11.023
Mediana;Total Nacional;08 Castilla - La Mancha;2012;11.372
Mediana;Total Nacional;08 Castilla - La Mancha;2011;11.237
Mediana;Total Nacional;08 Castilla - La Mancha;2010;12.329
Mediana;Total Nacional;08 Castilla - La Mancha;2009;12.968
Mediana;Total Nacional;08 Castilla - La Mancha;2008;11.857
Mediana;Total Nacional;09 Cataluña;2023;20.940
Mediana;Total Nacional;09 Cataluña;2022;19.734
Mediana;Total Nacional;09 Cataluña;2021;18.828
Mediana;Total Nacional;09 Cataluña;2020;18.943
Mediana;Total Nacional;09 Cataluña;2019;17.790
Mediana;Total Nacional;09 Cataluña;2018;18.302
Mediana;Total Nacional;09 Cataluña;2017;16.828
Mediana;Total Nacional;09 Cataluña;2016;16.757
Mediana;Total Nacional;09 Cataluña;2015;16.112
Mediana;Total Nacional;09 Cataluña;2014;16.279
Mediana;Total Nacional;09 Cataluña;2013;15.704
Mediana;Total Nacional;09 Cataluña;2012;15.870
Mediana;Total Nacional;09 Cataluña;2011;15.792
Mediana;Total Nacional;09 Cataluña;2010;16.481
Mediana;Total Nacional;09 Cataluña;2009;16.818
Mediana;Total Nacional;09 Cataluña;2008;16.188
Mediana;Total Nacional;10 Comunitat Valenciana;2023;16.767
Mediana;Total Nacional;10 Comunitat Valenciana;2022;15.525
Mediana;Total Nacional;10 Comunitat Valenciana;2021;15.273
Mediana;Total Nacional;10 Comunitat Valenciana;2020;15.180
Mediana;Total Nacional;10 Comunitat Valenciana;2019;13.994
Mediana;Total Nacional;10 Comunitat Valenciana;2018;13.748
Mediana;Total Nacional;10 Comunitat Valenciana;2017;13.094
Mediana;Total Nacional;10 Comunitat Valenciana;2016;11.861
Mediana;Total Nacional;10 Comunitat Valenciana;2015;11.769
Mediana;Total Nacional;10 Comunitat Valenciana;2014;11.717
Mediana;Total Nacional;10 Comunitat Valenciana;2013;12.130
Mediana;Total Nacional;10 Comunitat Valenciana;2012;13.010
Mediana;Total Nacional;10 Comunitat Valenciana;2011;13.280
Mediana;Total Nacional;10 Comunitat Valenciana;2010;13.645
Mediana;Total Nacional;10 Comunitat Valenciana;2009;14.004
Mediana;Total Nacional;10 Comunitat Valenciana;2008;12.867
Mediana;Total Nacional;11 Extremadura;2023;14.981
Mediana;Total Nacional;11 Extremadura;2022;12.754
Mediana;Total Nacional;11 Extremadura;2021;12.096
Mediana;Total Nacional;11 Extremadura;2020;12.006
Mediana;Total Nacional;11 Extremadura;2019;10.882
Mediana;Total Nacional;11 Extremadura;2018;10.265
Mediana;Total Nacional;11 Extremadura;2017;9.644
Mediana;Total Nacional;11 Extremadura;2016;10.673
Mediana;Total Nacional;11 Extremadura;2015;10.359
Mediana;Total Nacional;11 Extremadura;2014;9.905
Mediana;Total Nacional;11 Extremadura;2013;10.213
Mediana;Total Nacional;11 Extremadura;2012;10.490
Mediana;Total Nacional;11 Extremadura;2011;10.852
Mediana;Total Nacional;11 Extremadura;2010;10.943
Mediana;Total Nacional;11 Extremadura;2009;12.024
